respondent_id,area_dubai,accommodation_type,household_size,monthly_budget_aed,weekly_chore_hours,academic_workload_1_5,chore_interference_1_5,cleanliness_satisfaction_1_5,sel_room,sel_bathroom,sel_kitchen,sel_laundry,sel_ironing,sel_dishwashing,sel_bedding,sel_trash,sel_grocery,sel_window,num_chores_selected,q2_filler_item,q3_anchor_item,q4_laundry_ironing_pairing,q5_grocery_bundling,q6_chores_per_visit,q7_preferred_package,exam_room,exam_bathroom,exam_kitchen,exam_laundry,exam_grocery,exam_dishwashing,num_exam_chores_selected,q9_laundry_addon_decision,q10_packaging_preference
R1000,Discovery Gardens,University dorm/hostel,1,800,5.4,4,4,1,1,0,0,0,0,0,0,0,0,0,1,None selected,Room/floor cleaning,"No, separately",Not interested in either,1-2,None of these - custom mix,1,1,1,0,1,0,4,No,Build my own each time
R1001,Al Qusais,Shared apartment,3,5030,1.6,3,3,3,1,1,1,1,1,1,0,0,0,0,6,Dishwashing,Bathroom cleaning,"Yes, always together",Not interested in either,3-4,Standard Clean,1,1,0,0,0,0,2,Depends on load size,One flat all-inclusive package
R1002,Jumeirah Village Circle,Shared apartment,2,5240,5.3,4,4,1,1,1,1,0,0,1,1,0,0,0,5,Dishwashing,Kitchen cleaning,Don't need ironing,Not interested in either,3-4,Standard Clean,1,1,0,0,0,0,2,Depends on load size,One flat all-inclusive package
R1003,Academic City,Shared apartment,2,800,3.6,4,3,3,1,1,1,1,1,0,0,0,0,0,5,Ironing,Bathroom cleaning,"No, separately",Separate service,3-4,Standard Clean,0,1,0,1,1,1,4,Depends on load size,Build my own each time
R1004,Dubai Silicon Oasis,Apartment alone,1,3920,7.2,5,5,1,1,1,1,1,0,1,1,0,1,0,7,Bedding/linen change,Bathroom cleaning,Don't need ironing,Bundled together,All of them,Exam Week Rescue,1,1,1,1,0,0,4,No,"Either, depending on price"
R1005,Dubai Silicon Oasis,Living with family,2,3380,3.7,3,2,5,1,1,1,1,1,1,0,0,0,0,6,Dishwashing,Bathroom cleaning,"Yes, always together",Not interested in either,5-6,Full Care,1,1,1,1,0,0,4,No,One flat all-inclusive package
R1006,Dubai Silicon Oasis,Shared apartment,3,1530,3.6,3,3,3,1,1,1,0,1,0,0,0,0,0,4,Ironing,Bathroom cleaning,Don't need ironing,Not interested in either,1-2,Standard Clean,1,0,0,0,1,0,2,Yes,Build my own each time
R1007,Bur Dubai,Shared apartment,3,2410,1.0,2,1,5,1,0,1,0,0,0,0,0,0,0,2,None selected,Room/floor cleaning,Don't need ironing,Separate service,1-2,None of these - custom mix,1,0,1,0,0,1,3,No,Build my own each time
R1008,Academic City,Apartment alone,1,2850,4.6,5,2,5,1,1,1,0,0,1,1,0,0,0,5,Bedding/linen change,Kitchen cleaning,Don't need ironing,Not interested in either,3-4,Standard Clean,1,0,1,0,0,1,3,Yes,"Either, depending on price"
R1009,Jumeirah Village Circle,Shared apartment,3,5950,1.0,5,2,3,1,1,1,0,0,1,1,0,0,1,6,Bedding/linen change,Kitchen cleaning,Don't need ironing,Not interested in either,5-6,Full Care,1,0,1,0,1,1,4,Depends on load size,"Either, depending on price"
R1010,Dubai Silicon Oasis,Shared apartment,3,4810,1.3,4,2,4,1,1,1,1,1,1,1,1,0,0,8,Dishwashing,Kitchen cleaning,"Yes, always together",Separate service,5-6,Full Care,1,1,1,1,0,0,4,Depends on load size,One flat all-inclusive package
R1011,Al Qusais,University dorm/hostel,2,4980,6.5,5,3,3,1,1,1,1,0,1,1,0,1,0,7,Dishwashing,Room/floor cleaning,Don't need ironing,Bundled together,All of them,Exam Week Rescue,1,1,1,1,1,0,5,No,"Either, depending on price"
R1012,Deira,University dorm/hostel,1,4210,7.1,4,4,2,1,1,1,1,0,1,0,1,0,0,6,Dishwashing,Bathroom cleaning,"No, separately",Separate service,3-4,Standard Clean,1,1,1,1,0,1,5,Depends on load size,One flat all-inclusive package
R1013,Al Barsha,Living with family,5,2320,4.4,4,3,3,1,1,0,1,1,0,0,0,0,0,4,Ironing,Bathroom cleaning,"Yes, always together",Not interested in either,3-4,None of these - custom mix,1,1,1,0,0,0,3,Yes,One flat all-inclusive package
R1014,Al Barsha,Living with family,4,3170,2.1,2,1,5,1,1,1,1,1,1,0,1,1,1,9,Window cleaning,Bathroom cleaning,"Yes, always together",Bundled together,All of them,Exam Week Rescue,1,0,0,1,1,0,3,No,"Either, depending on price"
R1015,Al Barsha,Apartment alone,1,5090,5.4,4,4,2,1,1,1,1,1,0,0,1,0,0,6,Trash disposal,Room/floor cleaning,"Yes, always together",Not interested in either,5-6,Standard Clean,1,0,1,0,0,0,2,Depends on load size,One flat all-inclusive package
R1016,Al Barsha,Shared apartment,2,1790,5.0,2,1,5,1,1,1,1,0,0,0,0,0,0,4,None selected,Kitchen cleaning,"No, separately",Not interested in either,1-2,Full Care,1,1,1,1,1,1,6,No,Build my own each time
R1017,Academic City,University dorm/hostel,3,4200,2.2,5,2,4,0,1,1,1,1,0,0,0,0,0,4,Ironing,Kitchen cleaning,"Yes, always together",Not interested in either,1-2,Standard Clean,1,1,0,1,0,0,3,Yes,Build my own each time
R1018,Discovery Gardens,University dorm/hostel,3,2860,7.5,4,3,4,1,1,1,1,1,1,0,1,1,0,8,Trash disposal,Bathroom cleaning,"No, separately",Bundled together,5-6,Full Care,1,1,0,1,1,1,5,Depends on load size,One flat all-inclusive package
R1019,Al Barsha,Shared apartment,2,2980,6.8,4,2,5,0,0,0,1,1,1,0,0,0,0,3,Dishwashing,None selected,"Yes, always together",Not interested in either,3-4,Standard Clean,1,1,1,1,1,0,5,Depends on load size,One flat all-inclusive package
R1020,Academic City,Shared apartment,3,4500,4.1,1,1,5,1,1,1,0,0,1,1,1,0,0,6,Dishwashing,Kitchen cleaning,Don't need ironing,Not interested in either,3-4,Standard Clean,1,0,0,0,0,1,2,Depends on load size,"Either, depending on price"
R1021,Dubai Silicon Oasis,Apartment alone,1,5020,5.6,3,2,3,1,0,1,0,0,1,1,1,0,0,5,Dishwashing,Kitchen cleaning,Don't need ironing,Not interested in either,3-4,None of these - custom mix,1,1,1,0,1,0,4,Depends on load size,One flat all-inclusive package
R1022,Al Barsha,Apartment alone,1,3890,5.9,3,4,2,1,1,1,0,0,1,0,0,0,0,4,Dishwashing,Kitchen cleaning,Don't need ironing,Not interested in either,3-4,Standard Clean,1,1,0,0,0,0,2,Depends on load size,"Either, depending on price"
R1023,Discovery Gardens,Shared apartment,4,5120,1.0,3,2,3,1,1,1,1,1,0,1,0,1,0,7,Ironing,Room/floor cleaning,"Yes, always together",Bundled together,All of them,Full Care,1,1,1,1,1,1,6,Yes,One flat all-inclusive package
R1024,Academic City,Living with family,5,2390,3.0,2,1,5,1,1,1,1,1,0,1,1,0,1,8,Bedding/linen change,Room/floor cleaning,"Yes, always together",Not interested in either,5-6,Full Care,0,1,1,1,1,1,5,Yes,One flat all-inclusive package
R1025,Deira,Apartment alone,1,5260,4.1,5,5,1,1,1,1,0,0,1,0,1,0,0,5,Trash disposal,Kitchen cleaning,Don't need ironing,Separate service,3-4,Standard Clean,0,1,0,0,1,0,2,Yes,One flat all-inclusive package
R1026,Al Barsha,Shared apartment,2,4330,3.0,4,3,3,1,1,1,1,0,1,0,1,0,0,6,Trash disposal,Bathroom cleaning,Don't need ironing,Separate service,5-6,Standard Clean,1,0,0,0,0,0,1,Yes,One flat all-inclusive package
R1027,Academic City,Shared apartment,3,3070,3.9,3,2,4,1,1,1,1,1,0,0,1,0,0,6,Ironing,Bathroom cleaning,"Yes, always together",Separate service,5-6,Standard Clean,0,1,1,1,0,0,3,No,One flat all-inclusive package
R1028,Academic City,Shared apartment,3,3960,8.1,3,3,2,1,1,1,1,1,1,1,0,0,0,7,Bedding/linen change,Room/floor cleaning,"Yes, always together",Not interested in either,All of them,Full Care,1,1,1,1,0,1,5,No,One flat all-inclusive package
R1029,Dubai Silicon Oasis,University dorm/hostel,2,1450,6.3,3,2,4,1,1,1,1,1,1,1,0,1,0,8,Bedding/linen change,Room/floor cleaning,"Yes, always together",Bundled together,5-6,Full Care,1,1,1,1,0,1,5,No,One flat all-inclusive package
R1030,Academic City,Shared apartment,4,4790,2.9,4,2,4,0,1,1,1,0,1,0,0,0,0,4,Dishwashing,Bathroom cleaning,Don't need ironing,Separate service,1-2,None of these - custom mix,1,1,0,1,0,1,4,Yes,"Either, depending on price"
R1031,Dubai Silicon Oasis,Apartment alone,1,4140,6.6,4,4,2,1,1,0,1,1,0,0,0,0,0,4,Ironing,Bathroom cleaning,"Yes, always together",Not interested in either,3-4,None of these - custom mix,0,0,1,1,0,1,3,Depends on load size,One flat all-inclusive package
R1032,Dubai Silicon Oasis,University dorm/hostel,2,2470,7.8,5,5,1,0,0,1,0,0,0,0,0,1,0,2,None selected,Kitchen cleaning,Don't need ironing,Bundled together,1-2,Standard Clean,1,1,1,0,1,0,4,Yes,"Either, depending on price"
R1033,Al Qusais,University dorm/hostel,2,4670,6.8,3,4,2,1,1,1,1,0,1,0,1,1,0,7,Trash disposal,Room/floor cleaning,"No, separately",Bundled together,5-6,Full Care,1,1,1,1,1,1,6,Yes,"Either, depending on price"
R1034,Al Qusais,University dorm/hostel,2,2210,5.1,5,3,3,1,1,1,1,1,0,0,0,0,0,5,Ironing,Room/floor cleaning,"No, separately",Separate service,5-6,Full Care,1,1,0,1,1,1,5,Depends on load size,Build my own each time
R1035,Deira,University dorm/hostel,1,1230,4.2,5,2,3,1,1,1,0,0,0,0,0,0,0,3,None selected,Room/floor cleaning,Don't need ironing,Not interested in either,3-4,Quick Tidy,1,1,0,0,0,1,3,Depends on load size,Build my own each time
R1036,Al Barsha,Living with family,3,1720,5.9,3,3,2,1,1,1,1,1,1,1,1,0,1,9,Ironing,Room/floor cleaning,"No, separately",Not interested in either,5-6,Full Care,1,1,0,0,1,1,4,No,One flat all-inclusive package
R1037,Dubai Silicon Oasis,Apartment alone,1,5250,6.3,5,2,4,1,1,1,1,1,1,0,1,0,0,7,Ironing,Bathroom cleaning,"No, separately",Separate service,All of them,Exam Week Rescue,1,1,1,1,1,0,5,Yes,"Either, depending on price"
R1038,Jumeirah Village Circle,Shared apartment,4,1710,5.8,2,2,5,1,1,0,0,0,0,0,0,0,0,2,None selected,Room/floor cleaning,Don't need ironing,Not interested in either,1-2,Standard Clean,1,0,0,1,1,0,3,No,Build my own each time
R1039,Discovery Gardens,University dorm/hostel,3,5660,5.8,5,3,3,1,1,1,1,0,0,0,0,1,0,5,None selected,Room/floor cleaning,Don't need ironing,Separate service,3-4,Standard Clean,1,1,0,0,1,1,4,Yes,One flat all-inclusive package
R1040,Dubai Silicon Oasis,Shared apartment,3,800,6.6,3,2,4,0,1,1,1,0,1,0,1,1,0,6,Trash disposal,Kitchen cleaning,"No, separately",Separate service,5-6,Standard Clean,1,1,0,1,0,1,4,Yes,One flat all-inclusive package
R1041,Academic City,Shared apartment,3,5880,3.4,5,2,4,1,1,1,1,1,0,0,1,0,1,7,Window cleaning,Bathroom cleaning,"Yes, always together",Not interested in either,All of them,Full Care,1,1,1,1,0,1,5,No,One flat all-inclusive package
R1042,Dubai Silicon Oasis,University dorm/hostel,1,3500,8.1,5,4,2,1,1,0,1,0,0,1,0,0,0,4,Bedding/linen change,Bathroom cleaning,"No, separately",Not interested in either,1-2,Standard Clean,1,1,1,1,1,0,5,No,Build my own each time
R1043,Bur Dubai,Shared apartment,3,3360,4.9,5,3,2,1,0,1,0,0,0,0,0,0,0,2,None selected,Room/floor cleaning,Don't need ironing,Not interested in either,1-2,Standard Clean,1,0,0,1,0,0,2,No,"Either, depending on price"
R1044,Al Barsha,Shared apartment,3,2740,8.7,4,3,3,1,1,1,0,0,1,1,0,0,0,5,Dishwashing,Room/floor cleaning,"No, separately",Separate service,3-4,Standard Clean,0,1,1,0,1,1,4,No,Build my own each time
R1045,Jumeirah Village Circle,Shared apartment,3,4060,3.1,3,1,5,1,1,1,1,1,0,0,0,0,0,5,Ironing,Room/floor cleaning,"Yes, always together",Separate service,5-6,Standard Clean,1,1,1,1,0,0,4,Depends on load size,"Either, depending on price"
R1046,Al Barsha,Shared apartment,3,3450,8.0,2,2,4,1,1,1,0,0,0,1,1,0,0,5,Trash disposal,Room/floor cleaning,"No, separately",Separate service,5-6,Full Care,1,0,0,0,0,0,1,Depends on load size,"Either, depending on price"
R1047,Academic City,University dorm/hostel,2,4740,5.4,3,4,3,1,1,1,1,0,0,1,0,0,0,5,Bedding/linen change,Room/floor cleaning,"No, separately",Not interested in either,5-6,Full Care,1,1,0,0,0,0,2,No,One flat all-inclusive package
R1048,Academic City,Shared apartment,2,3660,3.7,2,3,3,1,0,1,1,0,0,0,0,1,1,5,Window cleaning,Room/floor cleaning,"No, separately",Separate service,5-6,Standard Clean,1,1,0,1,1,0,4,No,One flat all-inclusive package
R1049,Al Barsha,Shared apartment,3,3710,3.5,4,2,3,1,1,1,0,1,1,0,0,1,0,6,Dishwashing,Bathroom cleaning,"No, separately",Bundled together,5-6,Standard Clean,0,1,0,0,1,1,3,No,One flat all-inclusive package
R1050,Al Qusais,Shared apartment,3,2990,3.9,3,1,5,1,1,1,1,1,0,0,1,0,0,6,Ironing,Bathroom cleaning,"Yes, always together",Separate service,3-4,Standard Clean,1,1,1,1,0,1,5,No,One flat all-inclusive package
R1051,Deira,Living with family,3,3820,5.3,5,4,1,1,0,1,1,1,1,1,0,0,0,6,Dishwashing,Room/floor cleaning,"Yes, always together",Not interested in either,3-4,Full Care,1,1,1,1,0,1,5,No,One flat all-inclusive package
R1052,Al Qusais,Apartment alone,1,4830,6.5,4,2,4,1,1,1,1,1,1,0,0,0,0,6,Ironing,Room/floor cleaning,"Yes, always together",Not interested in either,5-6,Standard Clean,1,1,1,1,1,0,5,No,"Either, depending on price"
R1053,Bur Dubai,University dorm/hostel,1,810,4.4,5,3,2,1,1,0,1,0,0,1,0,0,0,4,Bedding/linen change,Room/floor cleaning,"No, separately",Not interested in either,1-2,Standard Clean,1,1,1,0,0,0,3,No,"Either, depending on price"
